pmid_reference;pmc_reference;evidence_code;disease_db;disease_name;disease_abbreviation;associated_gene_or_locus;disease_synonym;disease_id;disease_id_in_text;gene_id_in_text;hpo_name;hpo_id;hp_synonym;negation;not_abnormal;sentence;sentence_location;disease_location;gene_location;co_occurrence;comments
PMID:31374204;PMC6698936;TAS;OMIM;"TRICHOTHIODYSTROPHY 7, NONPHOTOSENSITIVE; TTD7";TTD ;TARS;trichothiodystrophy ;618546;no;187790;sun sensitivity;HP:0000992;sun-sensitive skin;no; -;There were no signs of sun-sensitive skin, but ichthyosis and follicular keratosis were reported ;body;abstract, body;title, abstract, body;no;
PMID:18657636; -;PCS;OMIM;"TOOTH AGENESIS, SELECTIVE, X-LINKED, 1; STHAGX1"; -;EDA;tooth agenesis;313500;no;300451;abnormality of shape of tooth;HP:0006482;shape of teeth; - ;normal;The proband had several deciduous teeth missing, but the shape of the residual teeth appeared normal;body (Materials and methods);title, abstract, body (Material and methods, Discussion);title, abstract, body (Introduction, Material and methods, Results, Discussion);no;
PMID:18657636; -;PCS;OMIM;"TOOTH AGENESIS, SELECTIVE, X-LINKED, 1; STHAGX1"; - ;EDA;tooth agenesis;313500;no;300451;heat intolerance;HP:0002046;intolerance to heat;no; -;There were also no complaints about intolerance to heat and susceptibility to respiratory tract infections;body (Materials and methods);title, abstract, body (Material and methods, Discussion);title, abstract, body (Introduction, Material and methods, Results, Discussion);no;
PMID:18657636; -;PCS;OMIM;"TOOTH AGENESIS, SELECTIVE, X-LINKED, 1; STHAGX1"; - ;EDA;tooth agenesis;313500;no;300451;respiratory tract infections;HP:0011947; exact match ;no; -;There were also no complaints about intolerance to heat and susceptibility to respiratory tract infections;body (Materials and methods);title, abstract, body (Material and methods, Discussion);title, abstract, body (Introduction, Material and methods, Results, Discussion);no;
PMID:25876182; -;PCS;OMIM;"THROMBOCYTOPENIA 3; THC3"; -; -;thrombocytopenia;273900;no;no;abnormal megakaryocyte morphology;HP:0012143;size of megakaryocytes; - ;normal;"Bone -marrow aspirate from patient 4 was reviewed and compared with that from two unaffected controls (at least 30 megakaryocytes analyzed per sample); the patient’s aspirate showed normal cellularity, erythroid and myeloid differentiation, and numbers and size of megakaryocytes (data not shown); however, the percentage of mature multilobulated megakaryocytes (three or more nuclear lobules) was reduced as compared with controls (15% versus 68%)";body (Results and discussion);title, abstract, body (Introduction); -;no;
PMID:11982762; -;PCS;OMIM;"KERATOSIS PALMOPLANTARIS STRIATA III; PPKS3";SPPK;KRT1;striate palmoplantar keratoderma;607654;no;no;abnormality of the nail;HP:0001597;nail; - ;normal;There was no involvement of nonpalmoplantar skin, however, and both hair and nails were normal;body (RESULTS);title, abstract, body (RESULTS, DISCUSSION);body (RESULTS);no;
PMID:11982762; -;PCS;OMIM;"KERATOSIS PALMOPLANTARIS STRIATA III; PPKS3";SPPK;KRT1;striate palmoplantar keratoderma;607654;no;no;hair abnormality;HP:0001595;hair; - ;normal;There was no involvement of nonpalmoplantar skin, however, and both hair and nails were normal;body (RESULTS);title, abstract, body (RESULTS, DISCUSSION);body (RESULTS);no;
PMID:30804514;PMC6622181;IEA;OMIM;"SPONDYLOEPIPHYSEAL DYSPLASIA, NISHIMURA TYPE; SEDN"; -;MIR140;spondyloepiphyseal dysplasia (SED) MIR140 type Nishimura ;618618;no;no;abnormality of bone mineral density;HP:0004348;bone density; -;normal;She had normal bone density for the age, which suggests that the heterozygous MIR140 mutation in humans does not lead to bone mass abnormalities ;body;body (Results);abstract, body (Methods);yes (gene);
PMID:31630789;PMC6849359;PCS;OMIM;"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, ISIDOR-TOUTAIN TYPE; SEMDIST";SEMD;RPL13;spondyloepimetaphyseal dysplasia ;618728;no;113703;cone rod dystrophy;HP:0000548;cone-rod distrophy; -; -; -;body (Table 1);body;title, abstract, body;no;
PMID:31630789;PMC6849359;PCS;OMIM;"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, ISIDOR-TOUTAIN TYPE; SEMDIST";SEMD;RPL13;spondyloepimetaphyseal dysplasia ;618728;no;113703;deafness;HP:0000365;exact match; -; -; -;body (Table 1);body;title, abstract, body;no;
PMID:31630789;PMC6849359;PCS;OMIM;"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, ISIDOR-TOUTAIN TYPE; SEMDIST";SEMD;RPL13;spondyloepimetaphyseal dysplasia ;618728;no;113703;myopia;HP:0000545;exact match; -; -; -;body (Table 1);body;title, abstract, body;no;
PMID:31630789;PMC6849359;PCS;OMIM;"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, ISIDOR-TOUTAIN TYPE; SEMDIST";SEMD;RPL13;spondyloepimetaphyseal dysplasia ;618728;no;113703;short phalanges;HP:0009803;exact match; -; -; -;body (Table 1);body;title, abstract, body;no;
PMID:27040692;PMC4833196;PCS;OMIM;"HYPOTONIA, INFANTILE, WITH PSYCHOMOTOR RETARDATION AND CHARACTERISTIC FACIES 3; IHPRF3"; -;TBCK ;severe infantile syndromic encephalopathy, infantile encephalopathy ;616900;no;no;microcephaly;HP:0000252;exact match; -; -;Despite the loss of brain volume, microcephaly was not observed ;body;title, abstract, body;title, abstract, body;no;disease_name is not referred in the text, instead it came from associated_gene_or_locus (TBCK)
PMID:25938801;PMC4461456;PCS;OMIM;"MYOPATHY, SCAPULOHUMEROPERONEAL; SHPM"; -;ACTA1;scapuloperoneal myopathy, scapuloperoneal disorder ;616852;no;102610;nemaline rods;HP:0003798;exact match;without; -;The ACTA1-related scapuloperoneal myopathy without nemaline rods or actin accumulations reported in this family does not belong to any of the hitherto recognized clinicopathologic actinopathies and thus expands the phenotypic range of actinopathies;body;title, abstract, body (Discussion);title, abstract, body (Methods, Results, Discussion);yes (gene, disease_name);"negative relation can also be found in the sentence ""Muscle biopsy specimens demonstrated type I fiber atrophy and trabeculated fibers without nemaline rods"" (abstract)"
PMID:26494905;PMC4690490;PCS;OMIM;"RETINITIS PIGMENTOSA AND ERYTHROCYTIC MICROCYTOSIS; RPEM";RP;TRNT1;retinitis pigmentosa;616959;no;no;abnormality of iron homeostasis;HP:0011031;iron saturation; -;normal;"Iron studies revealed a slightly elevated serum iron (162 μg/dl; normal = 87– 150 ug/dl) and soluble transferrin receptor (1.8 ng/ml; normal = <1.5 ng/ml), normal transferrin (268 mg/dl; normal = 200–360 mg/dl) and normal iron saturation (42%; normal = 27–44%) ";body (Results);title, abstract;title, abstract, body (Introduction, Results, Discussion, Materials and Methods);no;
PMID:26494905;PMC4690490;PCS;OMIM;"RETINITIS PIGMENTOSA AND ERYTHROCYTIC MICROCYTOSIS; RPEM";RP;TRNT1;retinitis pigmentosa;616959;no;no;ataxia;HP:0001251;exact match;none; -;None of these three patients had any history or signs of developmental delay, deafness, ataxia, seizures or cardiac disease ;body (Results);title, abstract;title, abstract, body (Introduction, Results, Discussion, Materials and Methods);no;
PMID:26494905;PMC4690490;PCS;OMIM;"RETINITIS PIGMENTOSA AND ERYTHROCYTIC MICROCYTOSIS; RPEM";RP;TRNT1;retinitis pigmentosa;616959;no;no;cardiac anomalies;HP:0001627;cardiac disease;none; -;None of these three patients had any history or signs of developmental delay, deafness, ataxia, seizures or cardiac disease ;body (Results);title, abstract;title, abstract, body (Introduction, Results, Discussion, Materials and Methods);no;
PMID:26494905;PMC4690490;PCS;OMIM;"RETINITIS PIGMENTOSA AND ERYTHROCYTIC MICROCYTOSIS; RPEM";RP;TRNT1;retinitis pigmentosa;616959;no;no;deafness;HP:0000365;exact match;none; -;None of these three patients had any history or signs of developmental delay, deafness, ataxia, seizures or cardiac disease ;body (Results);title, abstract;title, abstract, body (Introduction, Results, Discussion, Materials and Methods);no;
PMID:26494905;PMC4690490;PCS;OMIM;"RETINITIS PIGMENTOSA AND ERYTHROCYTIC MICROCYTOSIS; RPEM";RP;TRNT1;retinitis pigmentosa;616959;no;no;intellectual disability;HP:0001249;developmental delay;none; -;None of these three patients had any history or signs of developmental delay, deafness, ataxia, seizures or cardiac disease ;body (Results);title, abstract;title, abstract, body (Introduction, Results, Discussion, Materials and Methods);no;
PMID:26494905;PMC4690490;PCS;OMIM;"RETINITIS PIGMENTOSA AND ERYTHROCYTIC MICROCYTOSIS; RPEM";RP;TRNT1;retinitis pigmentosa;616959;no;no;low platelet count;HP:0001873;platelets ; -;normal;"The white blood cells were normal in number (5000/μl; normal = 3700–10 500/μl) and differential composition, and the platelets were also normal in number (214 000/μl; normal = 150 000–400 000/μl) ";body (Results);title, abstract;title, abstract, body (Introduction, Results, Discussion, Materials and Methods);no;
PMID:26494905;PMC4690490;PCS;OMIM;"RETINITIS PIGMENTOSA AND ERYTHROCYTIC MICROCYTOSIS; RPEM";RP;TRNT1;retinitis pigmentosa;616959;no;no;low white blood cell count;HP:0001882;white blood cells; -;normal;"The white blood cells were normal in number (5000/μl; normal = 3700–10 500/μl) and differential composition, and the platelets were also normal in number (214 000/μl; normal = 150 000–400 000/μl) ";body (Results);title, abstract;title, abstract, body (Introduction, Results, Discussion, Materials and Methods);no;
PMID:26494905;PMC4690490;PCS;OMIM;"RETINITIS PIGMENTOSA AND ERYTHROCYTIC MICROCYTOSIS; RPEM";RP;TRNT1;retinitis pigmentosa;616959;no;no;seizures;HP:0001250;exact match;none; -;None of these three patients had any history or signs of developmental delay, deafness, ataxia, seizures or cardiac disease ;body (Results);title, abstract;title, abstract, body (Introduction, Results, Discussion, Materials and Methods);no;
PMID:16575392; -;TAS;OMIM;"DOWLING-DEGOS DISEASE 1; DDD1;; DDD; RETICULAR PIGMENT ANOMALY OF FLEXURES";RPAF; -;reticulate pigmented anomaly of the flexures;179850;no;no;palmar pits;HP:0010610;pits on the palm;not; -;However, we did not find typical characteristic pits on the palms ;body (DISCUSSION);title, abstract, body (INTRODUCTION, RESULTS, DISCUSSION, MATERIALS AND METHODS); -;no;
PMID:29703829;PMC6060001;IEA;OMIM;"DEAFNESS, AUTOSOMAL RECESSIVE 113; DFNB113"; -;CEACAM16;recessive non-syndromic hearing impairment, hearing loss;618410;no;no;vestibular dysfunction;HP:0001751;vestibular reflexes; -;normal;An in-depth clinical evaluation revealed affected individuals have normal vestibular reflexes, vision, skin, cognitive function and developed normal speech ;body (Discussion);title, abstract, body (Introduction, Materials and Methods, Results, Discussion);title, abstract, body (Introduction, Materials and Methods, Results, Discussion);no;
PMID:23063621;PMC3487122;PCS;OMIM;"ECTODERMAL DYSPLASIA 9, HAIR/NAIL TYPE; ECTD9";PHNED;HOXC13;pure hair and nail ectodermal dysplasia;614931;no;142976;abnormal sebaceous gland morphology;HP:0032226;sebaceous glands;no; -;No abnormalities of the nervous system, skeleton, sweat glands, sebaceous glands, eyes, or teeth were observed ;body;title, abstract, body;title, abstract, body;no;
PMID:23063621;PMC3487122;PCS;OMIM;"ECTODERMAL DYSPLASIA 9, HAIR/NAIL TYPE; ECTD9";PHNED;HOXC13;pure hair and nail ectodermal dysplasia;614931;no;142976;abnormal sweat gland morphology;HP:0000971;sweat glands;no; -;No abnormalities of the nervous system, skeleton, sweat glands, sebaceous glands, eyes, or teeth were observed ;body;title, abstract, body;title, abstract, body;no;
PMID:23063621;PMC3487122;IEA;OMIM;"ECTODERMAL DYSPLASIA 9, HAIR/NAIL TYPE; ECTD9";PHNED;HOXC13;pure hair and nail ectodermal dysplasia;614931;no;142976;abnormality of the eye;HP:0000478;eyes;no; -;No abnormalities of the nervous system, skeleton, sweat glands, sebaceous glands, eyes, or teeth were observed ;body;title, abstract, body;title, abstract, body;no;
PMID:23063621;PMC3487122;PCS;OMIM;"ECTODERMAL DYSPLASIA 9, HAIR/NAIL TYPE; ECTD9";PHNED;HOXC13;pure hair and nail ectodermal dysplasia;614931;no;142976;abnormality of the nervous system;HP:0000707;nervous system;no; -;No abnormalities of the nervous system, skeleton, sweat glands, sebaceous glands, eyes, or teeth were observed ;body;title, abstract, body;title, abstract, body;no;
PMID:23063621;PMC3487122;PCS;OMIM;"ECTODERMAL DYSPLASIA 9, HAIR/NAIL TYPE; ECTD9";PHNED;HOXC13;pure hair and nail ectodermal dysplasia;614931;no;142976;abnormality of the skeletal system;HP:0000924;skeleton;no; -;No abnormalities of the nervous system, skeleton, sweat glands, sebaceous glands, eyes, or teeth were observed ;body;title, abstract, body;title, abstract, body;no;
PMID:23063621;PMC3487122;PCS;OMIM;"ECTODERMAL DYSPLASIA 9, HAIR/NAIL TYPE; ECTD9";PHNED;HOXC13;pure hair and nail ectodermal dysplasia;614931;no;142976;abnormality of the teeth;HP:0000164;teeth;no; -;No abnormalities of the nervous system, skeleton, sweat glands, sebaceous glands, eyes, or teeth were observed ;body;title, abstract, body;title, abstract, body;no;
PMID:2766660; -;PCS;OMIM;"PSEUDOHYPERKALEMIA, FAMILIAL, 2, DUE TO RED CELL LEAK; PSHK7"; -; -;pseudohyperkalaemia;609153;no;no;abnormal circulating aldosterone;HP:0040085;aldosterone concentration; -;normal;Blood gases and urinary aldosterone concentrations were normal;body (METHODS);title, abstract, body (INTRODUCTION, DISCUSSION); -;no;
PMID:2766660; -;PCS;OMIM;"PSEUDOHYPERKALEMIA, FAMILIAL, 2, DUE TO RED CELL LEAK; PSHK8"; -; -;pseudohyperkalaemia;609153;no;no;abnormal circulating aldosterone;HP:0040085;aldosterone concentration; -;normal;Plasma renin, aldosterone and creatinine concentrations were normal;body (METHODS);title, abstract, body (INTRODUCTION, DISCUSSION); -;no;
PMID:2766660; -;PCS;OMIM;"PSEUDOHYPERKALEMIA, FAMILIAL, 2, DUE TO RED CELL LEAK; PSHK9"; -; -;pseudohyperkalaemia;609153;no;no;abnormal circulating creatinine level;HP:0012100;creatinine cocentration; -;normal;Plasma renin, aldosterone and creatinine concentrations were normal;body (METHODS);title, abstract, body (INTRODUCTION, DISCUSSION); -;no;
PMID:2766660; -;PCS;OMIM;"PSEUDOHYPERKALEMIA, FAMILIAL, 2, DUE TO RED CELL LEAK; PSHK6"; -; -;pseudohyperkalaemia;609153;no;no;abnormal circulating renin;HP:0040084;renin concetration; -;normal;Plasma renin, aldosterone and creatinine concentrations were normal;body (METHODS);title, abstract, body (INTRODUCTION, DISCUSSION); -;no;
PMID:2766660; -;PCS;OMIM;"PSEUDOHYPERKALEMIA, FAMILIAL, 2, DUE TO RED CELL LEAK; PSHK3"; -; -;pseudohyperkalaemia;609153;no;no;abnormal leukocyte count;HP:0011893;differential white cell count; -;normal;The blood film, reticulocyte count, differential white cell count and platelet count were normal;body (METHODS);title, abstract, body (INTRODUCTION, DISCUSSION); -;no;
PMID:2766660; -;PCS;OMIM;"PSEUDOHYPERKALEMIA, FAMILIAL, 2, DUE TO RED CELL LEAK; PSHK2"; -; -;pseudohyperkalaemia;609153;no;no;abnormal platelet count;HP:0011873;platelet count; -;normal;The blood film, reticulocyte count, differential white cell count and platelet count were normal;body (METHODS);title, abstract, body (INTRODUCTION, DISCUSSION); -;no;
PMID:2766660; -;PCS;OMIM;"PSEUDOHYPERKALEMIA, FAMILIAL, 2, DUE TO RED CELL LEAK; PSHK2"; -; -;pseudohyperkalaemia;609153;no; no;hemolytic anemia;HP:0001878;" haemolysis; abnormality of erythrocyte morphology";no; -;There was no significant haemolysis in vitro and no abnormality of erythrocyte morphology;body (METHODS);title, abstract, body (INTRODUCTION, DISCUSSION); -;no;
PMID:2766660; -;PCS;OMIM;"PSEUDOHYPERKALEMIA, FAMILIAL, 2, DUE TO RED CELL LEAK; PSHK5"; -; -;pseudohyperkalaemia;609153;no;no;hyperbilirubinemia;HP:0002904;bilirubin concentration; -;normal;Haemoglobin, bilirubin and haptoglobin concentrations as well as erythrocyte volume were normal;body (METHODS);title, abstract, body (INTRODUCTION, DISCUSSION); -;no;
PMID:2766660; -;PCS;OMIM;"PSEUDOHYPERKALEMIA, FAMILIAL, 2, DUE TO RED CELL LEAK; PSHK4"; -; -;pseudohyperkalaemia;609153;no;no;reticulocytosis;HP:0001923;reticulocyte count; -;normal;The blood film, reticulocyte count, differential white cell count and platelet count were normal;body (METHODS);title, abstract, body (INTRODUCTION, DISCUSSION); -;no;
PMID:31996837;PMC7545464;PCS;OMIM;"CILIARY DYSKINESIA, PRIMARY, 44; CILD44";PCD;NEK10;primary ciliary dyskinesia;618781;no;no;heterotaxy;HP:0030853;exact match;without; -;Chest imaging demonstrated extensive pan-lobar bronchiectasis without heterotaxy, and nasal biopsies revealed normal ciliary radial ultrastructure;body;title, abstract, body;title, abstract, body;no;
PMID:22939636;PMC3511998;PCS;OMIM;"MICROCEPHALY, SHORT STATURE, AND POLYMICROGYRIA WITH OR WITHOUT SEIZURES; MSSP";PMG;RTTN;polymicrogyria ;614816;no;610436;abnormal auditory evoked potentials;HP:0006958;BAEP; -;normal; -;body (Table 1);body;title, abstract, body;no;
PMID:22939636;PMC3511998;PCS;OMIM;"MICROCEPHALY, SHORT STATURE, AND POLYMICROGYRIA WITH OR WITHOUT SEIZURES; MSSP";PMG;RTTN;polymicrogyria ;614816;no;610436;elevated serum creatine phosphokinase;HP:0003236;CPK; -;normal; -;body (Table 1);body;title, abstract, body;no;
PMID:22939636;PMC3511998;PCS;OMIM;"MICROCEPHALY, SHORT STATURE, AND POLYMICROGYRIA WITH OR WITHOUT SEIZURES; MSSP";PMG;RTTN;polymicrogyria ;614833;no;610436;situs inversus totalis;HP:0001696;situs solitus ; -;normal;normal, situs solitus ;body (Table 1);body;title, abstract, body;no;
PMID:27330106;PMC5035228;PCS;OMIM;"AVASCULAR NECROSIS OF FEMORAL HEAD, PRIMARY, 2; ANFH2"; -;TRPV4;osteonecrosis of the femoral head ;617383;no;no;beaking of vertebral bodies;HP:0004568;beaking;absent; -;Characteristics of these skeletal dysplasias including short stature, platyspondyly, abnormal vertebral hooking or beaking or osteoarthropathy of the fingers and toes were absent ;body (RESULTS);title, abstract, body (INTRODUCTION, RESULTS, DISCUSSION);title, abstract, body (INTRODUCTION, METHODS, RESULTS, DISCUSSION);no;
PMID:27330106;PMC5035228;PCS;OMIM;"AVASCULAR NECROSIS OF FEMORAL HEAD, PRIMARY, 2; ANFH2"; -;TRPV4;osteonecrosis of the femoral head ;617383;no;no;platyspondyly;HP:0000926;exact match;absent; -;Characteristics of these skeletal dysplasias including short stature, platyspondyly, abnormal vertebral hooking or beaking or osteoarthropathy of the fingers and toes were absent ;body (RESULTS);title, abstract, body (INTRODUCTION, RESULTS, DISCUSSION);title, abstract, body (INTRODUCTION, METHODS, RESULTS, DISCUSSION);no;
PMID:27330106;PMC5035228;PCS;OMIM;"AVASCULAR NECROSIS OF FEMORAL HEAD, PRIMARY, 2; ANFH2"; -;TRPV4;osteonecrosis of the femoral head ;617383;no;no;short stature;HP:0004322;exact match;absent; -;Characteristics of these skeletal dysplasias including short stature, platyspondyly, abnormal vertebral hooking or beaking or osteoarthropathy of the fingers and toes were absent ;body (RESULTS);title, abstract, body (INTRODUCTION, RESULTS, DISCUSSION);title, abstract, body (INTRODUCTION, METHODS, RESULTS, DISCUSSION);no;
PMID:25954033;PMC4492397;PCS;OMIM;OROFACIAL CLEFT 15; -;DLX4;orofacial clefting ;616788;no;no;distichiasis ;HP:0009743;exact match;without; -;She had a high anterior hairline with sparse eyebrows, euryblepharon and lagophthalmos (Fig. 1) and mild ectropion of the lower eyelids without distichiasis ;body (Materials and Methods);title, body (Discussion);title, abstract, body (Introduction, Results, Discussion, Materials and Methods);no;
PMID:26197441;PMC4510537;IEA;OMIM;"DEAFNESS, AUTOSOMAL DOMINANT 66; DFNA66";NSHI;CD164 ;nonsyndromic hearing impairment ;616969;no;603356;vestibular dysfunction;HP:0001751;vestibular complaints;not; -;Vestibular complaints were not reported subjectively ;body (Materials and Methods);title, abstract, body (Introduction, Results, Discussion, Materials and Methods);title, abstract, body (Introduction, Results, Discussion, Materials and Methods);no;
PMID:12471561;PMC420014;PCS;OMIM;"DEAFNESS, AUTOSOMAL DOMINANT 40; DFNA40"; -;CRYM;nonsyndromic deafness , deafness;616357;no;123740;muscular abnormality;HP:0003011;muscular;no; -;There is no vestibular, visual, renal, or muscular involvement for all affected individuals with the CRYM mutations ;body (Results);"title, abstract, body (Introduction; Family, Material and Methods, Discussion)";"title, abstract, body (Introduction; Family, Material and Methods, Discussion)";yes (gene);
PMID:12471561;PMC420014;PCS;OMIM;"DEAFNESS, AUTOSOMAL DOMINANT 40; DFNA40"; -;CRYM;nonsyndromic deafness , deafness;616357;no;123740;renal anomaly;HP:0000077;renal;no; -;There is no vestibular, visual, renal, or muscular involvement for all affected individuals with the CRYM mutations ;body (Results);"title, abstract, body (Introduction; Family, Material and Methods, Discussion)";"title, abstract, body (Introduction; Family, Material and Methods, Discussion)";yes (gene);
PMID:12471561;PMC420014;PCS;OMIM;"DEAFNESS, AUTOSOMAL DOMINANT 40; DFNA40"; -;CRYM;nonsyndromic deafness , deafness;616357;no;123740;vestibular dysfunction;HP:0001751;vestibular;no; -;There is no vestibular, visual, renal, or muscular involvement for all affected individuals with the CRYM mutations ;body (Results);"title, abstract, body (Introduction; Family, Material and Methods, Discussion)";"title, abstract, body (Introduction; Family, Material and Methods, Discussion)";yes (gene);
PMID:12471561;PMC420014;PCS;OMIM;"DEAFNESS, AUTOSOMAL DOMINANT 40; DFNA40"; -;CRYM;nonsyndromic deafness , deafness;616357;no;123740;visual impairment;HP:0000505;visual;no; -;There is no vestibular, visual, renal, or muscular involvement for all affected individuals with the CRYM mutations ;body (Results);"title, abstract, body (Introduction; Family, Material and Methods, Discussion)";"title, abstract, body (Introduction; Family, Material and Methods, Discussion)";yes (gene);
PMID:28972538;PMC5663364;PCS;OMIM;"NEUTROPENIA, SEVERE CONGENITAL, 8, AUTOSOMAL DOMINANT; SCN8"; -;SRP54 ;neutropenia;618752;no;no;abnormal immunoglobulin level;HP:0010701; serum Ig levels; -;normal;The patient’s lymphocyte immunophenotype results and serum Ig levels were normal ;body (Results);title, abstract, body (Introduction, Results, Discussion, Methods);title, abstract, body (Introduction, Results, Discussion, Methods);no;
PMID:31570889;PMC6858542;PCS;OMIM;"ECTODERMAL DYSPLASIA WITH FACIAL DYSMORPHISM AND ACRAL, OCULAR, AND BRAIN ANOMALIES; EDFAOB"; -; RHOA;neuroectodermal syndrome ;618727;no;no;intellectual disability;HP:0001249; intellectual deficiency;no; -;Despite this striking brain phenotype, no intellectual deficiency or neurological impairment was noted in any affected individual ;body;title, abstract, body;title, abstract, body (ONLINE METHODS);no;
PMID:32220290;PMC7118585;PCS;OMIM;"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND CEREBELLAR ATROPHY, WITH OR WITHOUT SEIZURES; NEDHCAS"; -;PIGK;neurodevelopmental syndrome with hypotonia ;618879;no;605087;elevated alkaline phosphatase;HP:0003155;elevated serum alkaline phosphatase ;not; -;Elevated serum alkaline phosphatase (ALP), a feature found in half of other known IGDs, was not seen in individuals with PIGK variants, similarly to what was seen in individuals with variants in PIGS and GPAA1 ;body (Discussion);title;title, abstract, body (Introduction, Materials and Methods, Results, Discussion);yes (gene);
PMID:30403323; -;PCS;OMIM;"MYOPATHY, CONGENITAL, WITH DIAPHRAGMATIC DEFECTS, RESPIRATORY INSUFFICIENCY, AND DYSMORPHIC FACIES; MYODRIF"; -;MYOD1;myopathy;618975;no;no;pulmonary hypoplasia;HP:0002089;exact match;without; -;Pulmonary imaging showed bilateral high diaphragmatic domes without pulmonary hypoplasia (Appendix S1) and diaphragmatic hypomobility on fluoroscopy;body (Case report);title, body (Introduction, Discussion);title, body (Introduction, Discussion);no;
