#disease-db	disease-identifier	disease-name	negation	HPO-ID	reference	evidence-code	onset	frequencyHPO	modifier	sub-ontology	alt-names	curators	frequencyRaw	sex
OMIM	112240	COLE-CARPENTER SYNDROME 1; CLCRP1	NOT	HP:0001263	OMIM:112240	TAS			 	P		HPO:skoehler[2015-01-04]	-	-
OMIM	112300	BOOK SYNDROME	NOT	HP:0001597	OMIM:112300	TAS			 	P		HPO:probinson[2009-02-17]	-	-
OMIM	112700	BRACHYDACTYLY, TYPE A3	NOT	HP:0001507	OMIM:112700	TAS			 	P		HPO:probinson[2009-02-17]	-	-
OMIM	112800	BRACHYDACTYLY, TYPE A4	NOT	HP:0001507	OMIM:112800	TAS			 	P		HPO:probinson[2009-02-17]	-	-
OMIM	113500	#113500 BRACHYOLMIA TYPE 3;;BRACHYOLMIA, AUTOSOMAL DOMINANT;;BRACHYRACHIA	NOT	HP:0001249	OMIM:113500	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
OMIM	113610	BRANCHIAL MYOCLONUS WITH SPASTIC PARAPARESIS AND CEREBELLAR ATAXIA	NOT	HP:0007361	OMIM:113610	TAS			 	P		HPO:probinson[2013-12-18]	-	-
OMIM	114030	114030 CAFE-AU-LAIT SPOTS, MULTIPLE	NOT	HP:0001067	PMID:8825931	PCS			 	P		HPO:skoehler[2013-05-30]	-	-
OMIM	114030	114030 CAFE-AU-LAIT SPOTS, MULTIPLE	NOT	HP:0009737	PMID:8825931	PCS			 	P		HPO:skoehler[2016-12-30]	-	-
OMIM	114100	%114100 BASAL GANGLIA CALCIFICATION, IDIOPATHIC, CHILDHOOD-ONSET;;IBGC, CHILDHOOD-ONSET;;STRIOPALLIDODENTATE CALCINOSIS, BILATERAL, CHILDHOOD-ONSET;;CEREBRAL CALCIFICATION, NONARTERIOSCLEROTIC, IDIOPATHIC, CHILDHOOD-ONSET	NOT	HP:0004363	OMIM:114100	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
OMIM	118301	118301 CHARCOT-MARIE-TOOTH DISEASE WITH PTOSIS AND PARKINSONISM	NOT	HP:0007305	OMIM:118301	TAS			 	P		HPO:skoehler[2012-11-16]	-	-
OMIM	118400	Cherubism	NOT	HP:0004379	PMID:11113824	PCS			 	P	CHERUBISM	HPO:probinson[2020-09-25]	-	-
OMIM	118610	118610 CHONDROCALCINOSIS DUE TO APATITE CRYSTAL DEPOSITION;;FAMILIAL APATITE DISEASE	NOT	HP:0001507	OMIM:118610	TAS			 	P		HPO:probinson[2009-02-17]	-	-
OMIM	118700	#118700 CHOREA, BENIGN HEREDITARY; BHC;;BCH;;HEREDITARY PROGRESSIVE CHOREA WITHOUT DEMENTIA	NOT	HP:0000726	OMIM:118700	TAS			 	P		HPO:skoehler[2012-11-16]	-	-
OMIM	120100	Familial cold inflammatory syndrome 1	NOT	HP:0000365	PMID:31777803	PCS			 	P	FAMILIAL COLD INFLAMMATORY SYNDROME 1	HPO:probinson[2020-09-26]	0/0	-
OMIM	120440	COLONIC VARICES WITHOUT PORTAL HYPERTENSION	NOT	HP:0001392	OMIM:120440	TAS			 	P		HPO:skoehler[2012-11-16]	-	-
OMIM	120440	COLONIC VARICES WITHOUT PORTAL HYPERTENSION	NOT	HP:0001409	OMIM:120440	TAS			 	P		HPO:probinson[2014-01-01]	-	-
OMIM	121201	EPILEPSY, BENIGN NEONATAL, 2	NOT	HP:0001263	OMIM:121201	TAS			 	P		HPO:probinson[2014-05-22]	-	-
OMIM	123000	CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT	NOT	HP:0004322	OMIM:123000	TAS			 	P		HPO:probinson[2015-03-22]	-	-
OMIM	123100	CRANIOSYNOSTOSIS 1	NOT	HP:0001249	OMIM:123100	TAS			 	P		HPO:probinson[2014-05-24]	-	-
OMIM	123560	123560 CRYPTOMICROTIA-BRACHYDACTYLY SYNDROME	NOT	HP:0000047	OMIM:123560	TAS			 	P		HPO:skoehler[2010-06-20]	-	-
OMIM	123560	123560 CRYPTOMICROTIA-BRACHYDACTYLY SYNDROME	NOT	HP:0001249	OMIM:123560	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
OMIM	123700	CUTIS LAXA, AUTOSOMAL DOMINANT 1; ADCL1	NOT	HP:0000974	OMIM:123700	IEA			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	123700	CUTIS LAXA, AUTOSOMAL DOMINANT 1; ADCL1	NOT	HP:0001058	OMIM:123700	TAS			 	P		HPO:skoehler[2014-11-27]	-	-
OMIM	125630	DERMODISTORTIVE URTICARIA	NOT	HP:0011971	OMIM:125630	TAS			 	P		HPO:probinson[2018-03-05]	-	-
OMIM	126070	DILUTION, PIGMENTARY	NOT	HP:0000613	OMIM:126070	IEA			 	P		HPO:skoehler[2010-06-20]	-	-
OMIM	126070	DILUTION, PIGMENTARY	NOT	HP:0000639	OMIM:126070	IEA			 	P		HPO:skoehler[2010-06-20]	-	-
OMIM	127000	KENNY-CAFFEY SYNDROME, TYPE 2; KCS2	NOT	HP:0001249	OMIM:127000	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
OMIM	127350	DYSCHONDROSTEOSIS AND NEPHRITIS	NOT	HP:0001249	OMIM:127350	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
OMIM	129510	ECTODERMAL DYSPLASIA, TRICHOODONTOONYCHIAL TYPE	NOT	HP:0000971	OMIM:129510	TAS			 	P		HPO:skoehler[2017-07-13]	-	-
OMIM	129510	ECTODERMAL DYSPLASIA, TRICHOODONTOONYCHIAL TYPE	NOT	HP:0000975	OMIM:129510	IEA			 	P		HPO:skoehler[2010-06-20]	-	-
OMIM	129810	ECTRODACTYLY AND ECTODERMAL DYSPLASIA WITHOUT CLEFT LIP/PALATE	NOT	HP:0000202	OMIM:129810	IEA			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	129810	ECTRODACTYLY AND ECTODERMAL DYSPLASIA WITHOUT CLEFT LIP/PALATE	NOT	HP:0410030	OMIM:129810	IEA			 	P		HPO:skoehler[2018-10-08]	-	-
OMIM	129830	129830 ECTRODACTYLY-CLEFT PALATE SYNDROME;;ECP SYNDROME	NOT	HP:0000204	OMIM:129830	IEA			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	129830	129830 ECTRODACTYLY-CLEFT PALATE SYNDROME;;ECP SYNDROME	NOT	HP:0000968	OMIM:129830	IEA			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	129830	129830 ECTRODACTYLY-CLEFT PALATE SYNDROME;;ECP SYNDROME	NOT	HP:0000968	OMIM:129830	TAS			 	P		HPO:skoehler[2013-05-30]	-	-
OMIM	130020	EHLERS-DANLOS SYNDROME, HYPERMOBILITY TYPE	NOT	HP:0100699	OMIM:130020	TAS			 	P		HPO:skoehler[2013-05-30]	-	-
OMIM	131900	EPIDERMOLYSIS BULLOSA SIMPLEX, KOEBNER TYPE	NOT	HP:0006482	PMID:3372762	IEA			 	P		HP:probinson[2019-03-03]	-	-
OMIM	133705	133705 EXTERNAL AUDITORY CANAL, BILATERAL ATRESIA OF, WITH CONGENITAL VERTICALTALUS;;RASMUSSEN SYNDROME	NOT	HP:0000316	OMIM:133705	IEA			 	P		HPO:skoehler[2010-06-20]	-	-
OMIM	134780	134780 FEMORAL-FACIAL SYNDROME; FFS;;FEMORAL HYPOPLASIA-UNUSUAL FACIES SYNDROME; FHUFS	NOT	HP:0001249	OMIM:134780	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
OMIM	135800	135800 FIBULA, RECURRENT DISLOCATION OF HEAD OF	NOT	HP:0002761	OMIM:135800	IEA			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	135800	135800 FIBULA, RECURRENT DISLOCATION OF HEAD OF	NOT	HP:0002761	OMIM:135800	TAS			 	P		HPO:skoehler[2013-05-30]	-	-
OMIM	136550	MACULAR DYSTROPHY, RETINAL, 1, NORTH CAROLINA TYPE	NOT	HP:0007641	OMIM:136550	TAS			 	P		HPO:probinson[2012-07-24]	-	-
OMIM	137920	RENAL CYSTS AND DIABETES SYNDROME; RCAD	NOT	HP:0001513	OMIM:137920	TAS			 	P		HPO:skoehler[2013-05-30]	-	-
OMIM	141750	ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, CHROMOSOME 16-RELATED	NOT	HP:0040133	OMIM:141750	TAS			 	P		HPO:skoehler[2015-01-04]	-	-
OMIM	143095	Spondyloepiphyseal dysplasia with congenital joint dislocations	NOT	HP:0001249	OMIM:143095	TAS			 	P	SPONDYLOEPIPHYSEAL DYSPLASIA WITH CONGENITAL JOINT DISLOCATIONS	HPO:skoehler[2014-11-26]	-	-
OMIM	143470	HYPERALPHALIPOPROTEINEMIA	NOT	HP:0000991	OMIM:143470	IEA			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	143500	GILBERT SYNDROME	NOT	HP:0001399	OMIM:143500	IEA			 	P		HPO:skoehler[2010-06-20]	-	-
OMIM	144750	ENDOSTEAL HYPEROSTOSIS, AUTOSOMAL DOMINANT	NOT	HP:0000002	OMIM:144750	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
OMIM	145290	HYPERREFLEXIA	NOT	HP:0003487	OMIM:145290	TAS			 	P		HPO:probinson[2015-07-19]	-	-
OMIM	146000	HYPOCHONDROPLASIA	NOT	HP:0001363	OMIM:146000	TAS			 	P		HPO:probinson[2012-07-24]	-	-
OMIM	146000	HYPOCHONDROPLASIA	NOT	HP:0004060	OMIM:146000	TAS			 	P		HPO:probinson[2009-02-17]	-	-
OMIM	146110	Hypogonadotropic hypogonadism 7 without anosmia	NOT	HP:0004408	OMIM:146110	TAS			 	P	HYPOGONADOTROPIC HYPOGONADISM 7 WITHOUT ANOSMIA	HPO:skoehler[2015-06-22]	-	-
OMIM	146510	Pallister-Hall syndrome	NOT	HP:0100258	PMID:24736735	PCS			 	P	PALLISTER-HALL SYNDROME	HPO:probinson[2017-05-28]	-	-
OMIM	146520	HYPOTRICHOSIS 2; HYPT2	NOT	HP:0000164	OMIM:146520	IEA			 	P		HPO:skoehler[2019-04-18]	-	-
OMIM	146520	HYPOTRICHOSIS 2; HYPT2	NOT	HP:0001597	OMIM:146520	IEA			 	P		HPO:skoehler[2019-04-18]	-	-
OMIM	147330	INCISORS, LOWER CENTRAL, ABSENCE OF	NOT	HP:0000668	PMID:27274160	PCS			 	P		HPO:lccarmody[2018-10-02]	-	-
OMIM	147430	MARSILI SYNDROME; MARSIS	NOT	HP:0000559	PMID:8983665	PCS			 	P		HPO:lccarmody[2018-10-04]	-	-
OMIM	147430	MARSILI SYNDROME; MARSIS	NOT	HP:0000632	PMID:8983665	PCS			 	P		HPO:lccarmody[2018-10-04]	-	-
OMIM	147891	Ischiocoxopodopatellar syndrome with or without pulmonary arterial hypertension	NOT	HP:0001597	OMIM:147891	TAS			 	P	ISCHIOCOXOPODOPATELLAR SYNDROME WITH OR WITHOUT PULMONARY ARTERIAL HYPERTENSION	HPO:probinson[2018-03-07]	-	-
OMIM	148600	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE IA; PPKP1A	NOT	HP:0001597	PMID:14684683	PCS			 	P		HP:probinson[2019-04-13]	-	-
OMIM	150500	150500 LATTICE DEGENERATION OF RETINA LEADING TO RETINAL DETACHMENT	NOT	HP:0000545	OMIM:150500	IEA			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	150500	150500 LATTICE DEGENERATION OF RETINA LEADING TO RETINAL DETACHMENT	NOT	HP:0000545	OMIM:150500	TAS			 	P		HPO:skoehler[2013-05-30]	-	-
OMIM	150590	150590 LEG ULCERS, FAMILIAL, OF JUVENILE ONSET	NOT	HP:0005293	OMIM:150590	TAS			 	P		HPO:skoehler[2013-05-30]	-	-
OMIM	153880	%153880 MACULAR EDEMA, CYSTOID;;CYSTOID MACULAR DYSTROPHY; CYMD;;MACULAR DYSTROPHY, DOMINANT CYSTOID; MDDC;;DCMD	NOT	HP:0000512	OMIM:153880	TAS			 	P		HPO:skoehler[2014-11-27]	-	-
OMIM	154400	ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1	NOT	HP:0001249	OMIM:154400	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
OMIM	154750	MARFANOID HYPERMOBILITY SYNDROME	NOT	HP:0000541	OMIM:154750	IEA			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	154750	MARFANOID HYPERMOBILITY SYNDROME	NOT	HP:0000541	OMIM:154750	TAS			 	P		HPO:skoehler[2013-05-30]	-	-
OMIM	155100	MACROTHROMBOCYTOPENIA AND GRANULOCYTE INCLUSIONS WITH OR WITHOUT NEPHRITIS OR SENSORINEURAL HEARING LOSS; MATINS	NOT	HP:0000077	OMIM:155100	TAS			 	P		HPO:skoehler[2013-05-30]	-	-
OMIM	156230	%156230 MESOMELIC DWARFISM OF HYPOPLASTIC TIBIA AND RADIUS TYPE	NOT	HP:0000271	OMIM:156230	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
OMIM	157640	PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 1; PEOA1	NOT	HP:0100315	OMIM:157640	TAS			 	P		HPO:skoehler[2013-05-30]	-	-
OMIM	158330	#158330 MULLERIAN APLASIA AND HYPERANDROGENISM;;MULLERIAN DUCT FAILURE AND HYPERANDROGENISM	NOT	HP:0000811	OMIM:158330	TAS			 	P		HPO:skoehler[2014-11-27]	-	-
OMIM	158580	#158580 NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VIIA; HMN7A;;HMN VIIA;;NEUROPATHY, DISTAL HEREDITARY MOTOR, TYPE VIIA;;DHMN7A;;DHMNVP;;SPINAL MUSCULAR ATROPHY, DISTAL, WITH VOCAL CORD PARALYSIS;;HARPER-YOUNG MYOPATHY	NOT	HP:0040131	OMIM:158580	TAS			 	P		HPO:skoehler[2015-01-04]	-	-
OMIM	159950	Spinal muscular atrophy with progressive myoclonic epilepsy	NOT	HP:0003236	OMIM:159950	TAS			 	P	SPINAL MUSCULAR ATROPHY WITH PROGRESSIVE MYOCLONIC EPILEPSY	HPO:skoehler[2013-03-11]	-	-
OMIM	160800	MYOTONIA CONGENITA, AUTOSOMAL DOMINANT	NOT	HP:0001324	OMIM:160800	TAS			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	163400	NIEVERGELT SYNDROME	NOT	HP:0000271	OMIM:163400	IEA			 	P		HPO:skoehler[2009-02-17]	-	-
OMIM	163400	NIEVERGELT SYNDROME	NOT	HP:0001249	OMIM:163400	IEA			 	P		HPO:skoehler[2009-02-17]	-	-
OMIM	163500	NIGHT BLINDNESS, CONGENITAL STATIONARY, AUTOSOMAL DOMINANT 2; CSNBAD2	NOT	HP:0001098	OMIM:163500	TAS			 	P		HPO:probinson[2015-06-02]	-	-
OMIM	164300	#164300 OCULOPHARYNGEAL MUSCULAR DYSTROPHY; OPMD;;MUSCULAR DYSTROPHY, OCULOPHARYNGEAL	NOT	HP:0003200	OMIM:164300	TAS			 	P		HPO:skoehler[2013-05-30]	-	-
OMIM	164680	164680 ONYCHOGRYPOSIS, PEDAL, WITH KERATOSIS PLANTARIS AND COARSE HAIR	NOT	HP:0001231	OMIM:164680	TAS			 	P		HPO:skoehler[2014-11-27]	-	-
OMIM	166230	OSTEOGENESIS IMPERFECTA WITH OPALESCENT TEETH, BLUE SCLERAE AND WORMIAN BONES, BUT WITHOUT FRACTURES	NOT	HP:0000002	OMIM:166230	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
OMIM	166230	OSTEOGENESIS IMPERFECTA WITH OPALESCENT TEETH, BLUE SCLERAE AND WORMIAN BONES, BUT WITHOUT FRACTURES	NOT	HP:0001382	OMIM:166230	IEA			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	167210	PACHYONYCHIA CONGENITA 2	NOT	HP:0002745	OMIM:167210	TAS			 	P		HPO:skoehler[2013-05-30]	-	-
OMIM	168300	#168300 PARAMYOTONIA CONGENITA OF VON EULENBURG; PMC;;PARALYSIS PERIODICA PARAMYOTONICAPARAMYOTONIA CONGENITA WITHOUT COLD PARALYSIS, INCLUDED	NOT	HP:0003198	OMIM:168300	TAS			 	P		HPO:skoehler[2012-11-20]	-	-
OMIM	168400	#168400 PARASTREMMATIC DWARFISM	NOT	HP:0001249	OMIM:168400	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
OMIM	169000	%169000 PATELLA, FAMILIAL RECURRENT DISLOCATION OF	NOT	HP:0001388	OMIM:169000	IEA			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	169000	%169000 PATELLA, FAMILIAL RECURRENT DISLOCATION OF	NOT	HP:0001388	OMIM:169000	TAS			 	P		HPO:skoehler[2013-05-30]	-	-
OMIM	169170	PATTERSON PSEUDOLEPRECHAUNISM SYNDROME	NOT	HP:0000364	OMIM:169170	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
OMIM	170400	#170400 HYPOKALEMIC PERIODIC PARALYSIS, TYPE 1; HOKPP1;;HYPOKALEMIC PERIODIC PARALYSIS; HOKPP	NOT	HP:0002486	OMIM:170400	TAS			 	P		HPO:skoehler[2012-11-21]	-	-
OMIM	170650	PERIODONTITIS, AGGRESSIVE, 1	NOT	HP:0000972	OMIM:170650	IEA			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	171480	PHOCOMELIA-ECTRODACTYLY, EAR MALFORMATION, DEAFNESS, AND SINUS ARRHYTHMIA	NOT	HP:0001249	PMID:7077621	PCS			 	P		HPO:skoehler[2014-11-26];HPO:probinson[2019-12-10]	-	-
OMIM	173580	PLATELET RESPONSIVENESS TO ADRENALINE, DEPRESSED	NOT	HP:0001892	OMIM:173580	TAS			 	P		HPO:skoehler[2010-06-20]	-	-
OMIM	174050	POLYCYSTIC LIVER DISEASE 1 WITH OR WITHOUT KIDNEY CYSTS; PCLD1	NOT	HP:0004944	OMIM:174050	IEA			 	P		HPO:skoehler[2010-06-20]	-	-
OMIM	176270	PRADER-WILLI SYNDROME; PWS	NOT	HP:0001249	OMIM:176270	TAS			 	P		HPO:skoehler[2014-11-27]	-	-
OMIM	176800	176800 PRONATION-SUPINATION OF THE FOREARM, IMPAIRMENT OF	NOT	HP:0002974	OMIM:176800	TAS			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	177170	PSEUDOACHONDROPLASIA	NOT	HP:0001249	OMIM:177170	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
OMIM	179000	PURPURA SIMPLEX	NOT	HP:0003256	OMIM:179000	TAS			 	P		HPO:probinson[2009-02-17]	-	-
OMIM	179650	RED CELL PERMEABILITY DEFECT	NOT	HP:0001878	OMIM:179650	TAS			 	P		HPO:probinson[2009-02-17]	-	-
OMIM	179830	179830 RENAL TUBULAR ACIDOSIS, PROXIMAL;;RENAL TUBULAR ACIDOSIS II;;RTA, PROXIMAL TYPE;;RTA, RATE TYPE	NOT	HP:0002150	OMIM:179830	TAS			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	179830	179830 RENAL TUBULAR ACIDOSIS, PROXIMAL;;RENAL TUBULAR ACIDOSIS II;;RTA, PROXIMAL TYPE;;RTA, RATE TYPE	NOT	HP:0002748	OMIM:179830	TAS			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	179830	179830 RENAL TUBULAR ACIDOSIS, PROXIMAL;;RENAL TUBULAR ACIDOSIS II;;RTA, PROXIMAL TYPE;;RTA, RATE TYPE	NOT	HP:0002749	OMIM:179830	TAS			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	179840	RETICULAR DYSTROPHY OF RETINAL PIGMENT EPITHELIUM	NOT	HP:0000512	OMIM:179840	TAS			 	P		HPO:skoehler[2014-11-27]	-	-
OMIM	180050	%180050 RETINAL DETACHMENT	NOT	HP:0000545	OMIM:180050	IEA			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	180050	%180050 RETINAL DETACHMENT	NOT	HP:0000545	OMIM:180050	TAS			 	P		HPO:skoehler[2013-05-30]	-	-
OMIM	180350	RHEUMATOID NODULOSIS	NOT	HP:0001370	OMIM:180350	TAS			 	P		HPO:skoehler[2010-06-20]	-	-
OMIM	180350	RHEUMATOID NODULOSIS	NOT	HP:0001881	OMIM:180350	TAS			 	P		HPO:iea[2015-06-04]	-	-
OMIM	180860	SILVER-RUSSELL SYNDROME; SRS	NOT	HP:0000240	OMIM:180860	TAS			 	P		HPO:skoehler[2014-11-27]	-	-
OMIM	182150	SIMOSA CRANIOFACIAL SYNDROME	NOT	HP:0000364	OMIM:182150	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
OMIM	182290	SMITH-MAGENIS SYNDROME; SMS	NOT	HP:0040129	OMIM:182290	TAS			 	P		HPO:skoehler[2015-01-04]	-	-
OMIM	183849	SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH HYPOTRICHOSIS	NOT	HP:0000164	OMIM:183849	TAS			 	P		HPO:probinson[2009-02-17]	-	-
OMIM	183849	SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH HYPOTRICHOSIS	NOT	HP:0001597	OMIM:183849	TAS			 	P		HPO:probinson[2009-02-17]	-	-
OMIM	183850	SPONDYLOEPIPHYSEAL DYSPLASIA WITH PUNCTATE CORNEAL DYSTROPHY	NOT	HP:0000572	OMIM:183850	IEA			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	184095	#184095 SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE;;SED, MAROTEAUX TYPE;;PSEUDO-MORQUIO SYNDROME, TYPE 2	NOT	HP:0001249	OMIM:184095	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
OMIM	184095	#184095 SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE;;SED, MAROTEAUX TYPE;;PSEUDO-MORQUIO SYNDROME, TYPE 2	NOT	HP:0007759	OMIM:184095	IEA			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	184095	#184095 SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE;;SED, MAROTEAUX TYPE;;PSEUDO-MORQUIO SYNDROME, TYPE 2	NOT	HP:0008155	OMIM:184095	IEA			 	P		HPO:skoehler[2010-06-18]	-	-
OMIM	184095	#184095 SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE;;SED, MAROTEAUX TYPE;;PSEUDO-MORQUIO SYNDROME, TYPE 2	NOT	HP:0008155	OMIM:184095	TAS			 	P		HPO:skoehler[2013-05-30]	-	-
OMIM	184250	#184250 SPONDYLOEPIMETAPHYSEAL DYSPLASIA, STRUDWICK TYPE; SEMDSTWK;;SEMD, STRUDWICK TYPE;;SPONDYLOMETAEPIPHYSEAL DYSPLASIA CONGENITA, STRUDWICK TYPE;;SMED, STRUDWICK TYPE;;SMED, TYPE I;;STRUDWICK SYNDROME;;DAPPLED METAPHYSIS SYNDROME;;SPONDYLOMETAPHYSEAL DYSPLASIA; SMD;;SEMDC	NOT	HP:0001249	OMIM:184250	TAS			 	P		HPO:skoehler[2014-11-26]	-	-
